,verbatim_text
8643,Wonderful.
8644,no.
8645,Making the wifi more user friendly would help.
8646,Food was very spicy way too spicy. Not bad but could it been less added.
8647,The good was heated too long it [good] had a burnt taste.
8648,Snack should be little more.
8649,Good vegetarian choice.
8650,Aircraft was late at the gate after maintenance. the cabin service was hastely put together. Not up to the usual Business Class experience on the Denver to LHR leg.
8651,The wine served in 1st class is pretty awful. And why is the white wine always a below average oaky Chardonnay?. There are many inexpensive but perfectly drinkable wines on the market. Someone at United should really look into it.
8652,"The overall experience was okay, at best."
8653,The food exceeded my expectations.
8654,I really do not think any service is required for flights under 2 hours.
8655,"The 2nd 'meal' that was served, before the end of the flight, was a cheeseburger that was terrible."
8656,There were no pretzels just a beverage. Need a little food.
8657,It was not clear if we were being charged for these items since we were asked to provide a card for purchases before the flight took off.
8658,Need a gluten-free option.
8659,"I found a bit weird that the beverages were served when I was about to finish my meal in the evening. It would have been nice if the beverage options included different types of beer (e.g., APA/IPA). And last, but not least, the breakfast (one small yoghurt and a single biscotti) was a bit too light."
8660,No.
8661,Only two choices.
8662,Spirits charge is a bit high.
8663,The food is not good.
8664,"I did not like the scramble eggs mixed with the minced chicken sausage, I enjoy the sausage as a whole, separate from the scramble eggs. I prefer the bread roll and croissant warm not very cold. Overall, below a basic breakfast."
8665,Love the chocolate chip cookies.
8666,more beverage should be offer with snack.
8667,"short flight without meal service, but it would be nice if in First there was a snack that was more than pretzels and stroopwaffel."
8668,My waffles were delicious & hot….
8669,"I sat in my assigned seat and ordered a food box and glass of wine. (Frequently, the drinks listed in the United magazine are different than what you get.). The flight attendant was mentioning what I ordered to another flight attendant. I thought they wanted to charge me (I am Premier 1K). I had to say what my status is, and the flight attendant say, yes, buy I still need to tell her. I guess os. this transaction is very awkward. I wish there was a better way than that to make it clear that these items are complimentary rather than having to yell out my status."
8670,should offer more pre-packaged snacks. variety is better.
8671,Have flavored pretzels!.
8672,Suggest free peanuts or pretzels. Can not cost that much.
8673,"In the announcement made, the flight attendant said there would be food and beverage service. I realize that the flight was short. only beverages were offered."
8674,Needed snacks in addition to breakfast (first class).
8675,Food could be a bit tastier.
8676,I think that every airline can do better with the snack items.
8677,"I am not vegetarian, do not eat beef. the chicken was too spicy. Those were my options."
8678,"Two things about the takeoff box. The little spoon needs to come back to put the spreads into the crackers. It is the biggest Hassel without it. The Jelly that is now included is pretty meh. The double cheese spreads was significantly better. I tried to get behind the jam, but It just does not compare. The rest of it is still fantastic, best box you guys have available for sure."
8679,Should offer or give at least 2 or 3 varieties of snacks and not just one.
8680,"OK, mainly, the thing was they did not serve anything at the beginning of the flight but I *think* it was bcs. the flight was late or messed up or something. Overall, the flight attendants were stern. they clearly wanted to do a good job. I think they did."
8681,There was no such service provided.
8682,Ran out of the chicken option and only pasta option available which is overly filled with cheese;. would much prefer a vegetable option with less/no cheese.
8683,Please go back to pre-pandemic dining on United business. The tray is not fun. Having desert in a plastic container is not appealing.
8684,NO.
8685,My wife's profile lists her as gluten free yet there was no gluten free option available for her on the flight of 7.5 hours.
8686,Need more food options in first class.
8687,When we sat down and boarded no one asked us if we wanted a drink until food service.
8688,"No, complete."
8689,"More water, eg during the ""down-time"" please provide larger bottles."
8690,"Once again-- I noticed the flight attendants regularly serviced the right side of the plane. On the left side where I was sitting (22D), there was such infrequent service. Used the call attendant button twice. no one ever came. I flagged down a flight attendant to order a drink, never came. I flagged down a 2nd flight attendant to order a drink, never came."
8691,Add small snack?.
8692,"Stated in the previous q&a actually. Would have been nice to have had some snacks or alternative food options available. I have food limitations (can not eat wheat or dairy), and I understand I am a small percentage of passenger (I usually eat before my flights and / or bring my own food) but it would have been nice, had their been a fruit cup or some part of the meal that I could have eaten been offered. Perhaps a bridge too far…."
8693,Not all the options in the menu were available for breakfast.
8694,I had the sparkling wine. I think you can do a better tasting (champagne/Prosecco) at the same price point. It was very yeasty tasting.
8695,No.
8696,The snack offered (cheese/ &chicken) sandwich - nothing else and quite small considering time between dinner and time it was offered.
8697,I understand that you like to serve drinks in glasses in first class. I would have rather had the can and a glass of ice. It would be great if customers would be given both.
8698,Best food and dessert ever on a flight.
8699,"given a 4 1/2 flight, i think snack portion should be bigger. Perhaps a slider size sandwich."
8700,The choice of wines and spirits is considered good.
8701,"The flight was 2.5 hours and I the announcement said there would be adult beverages for purchase, which I have experienced before on this flight and expected. But when the cart came through I asked for a purchase and was told they were only serving soda, juice, coffee, which seemed strange for this route and the length of the flight. Friendly flight attendant came back later and had ""found"" a bottle of wine, which was very thoughtful. Maybe they just did not stock the plane or something?. Seemed odd. I do not need to drink on the flight, but was looking forward to a single beverage to relax in transit with my book."
8702,The food could be better. It was a little plain...and the tomato puree you serve is not that good. I would rather have had ketchup.
8703,I received free wine being 1K. I purchased wine for my wife who was traveling with me.
8704,Offer Monster and charge 4.50.
8705,I get it on limiting coach passengers to 2 drinks. I usually fly First Class and that is not the case.
8706,So happy they had Coke Zero.
8707,Recycling is a must!.
8708,No.
8709,I like.
8710,Food was not very good. Did not eat the entree just ate fruit and bread.
8711,It is boring.
8712,Offer more snack options.
8713,Just fine.
8714,I would like Johnny Walker Black. There were no food choices.
8715,The waffle cookie did not have much flavor.
8716,Need more selections.
8717,Enjoyed the meal.
8718,No.
8719,would like free snack bags offered in economy.
8720,"The vegetable curry with rice was the best meal I have ever had on an airplane. Unfortunately, being lactose intolerant, I could not use the butter or eat the ice cream."
8721,The coffee was weak. Wine was a nice surprise. Vegetarian “breakfast” not very good. the curry for dinner was alright but saw regular dinners had better dessert. Yogurt for desert?. Breakfast fruit was good but again the yogurt?. To select vegetarian meals it seemed inevitable that you thought I asked for vegan.
8722,"Giving out beverages twice in 12 hours (including an hour on board pre flight) is not enough, when the passengers are not allowed to bring liquids at all."
8723,Wish there wee more snack selections and larger snacks.
8724,Every healthy option offers yogurt. Not everybody likes yogurts. I had to pick the tiny red peppers out of the eggs. Why not offer a full fruit plate?.
8725,I always fly United and I have never been disappointed in any of the meals I have had.
8726,"I like the fact that they give you a can of the drinks. This cuts down on having to ask for additional drinks, and does not make you have to rush your drink."
8727,No.
8728,The snacks are very small. Other than that you guys are great.
8729,I would have liked them to offer a snack like a biscoff or pretzels.
8730,Food options generally do not appeal to me.
8731,can not afford to eat.
8732,The pretzels served on the flight from PHL to Denver on 9/9 were stale.
8733,Two or three packages of cookies is what should be given per person.
8734,NO.
8735,Spirits should be free on long haul flights.
8736,"Left at 9:55. Should have had sandwich for lunch and pasta meal later. My chicken pasta had a tiny piece of chicken while my husband got a larger piece. Less pasta, more veggies please."
8737,Food was the best I have ever had on a flight.
8738,More variety.
8739,Giving that kind of a small cookie and a soda not even a full can is very disrespectful.
8740,Difficult to hear what stewards are saying. You have screenshots available for each passenger why do not you use this to communicate. It would allow passengers to be more relaxed and ready to quickly respond back to stewards.
8741,"No food snacks (egg pretzels stroopwafels, etc. ) other flights on same route I have been offered snacks."
8742,What food??.
8743,The chicken was spicy.
8744,The flight time was only 20 minutes so it did not come up.
8745,There was no fruit offered with breakfast. I was disappointed. Loved that you started the sundaes again!!!!!!. Wish they were back to the homemade ones though.
8746,No.
8747,Coffee was not made had to wait for it and it was cold when I got it [Coffee].
8748,None.
8749,Should have a low carb meal.
8750,My soon ask for an extra bag of pretzels attendant said could not do it. I know the corporate answer if we give it to one then everyone would want two. I flew United round trip to Colorado due to your service. And you could not give him one extra bag os pretzels that you pay a dime for. Foul.
8751,There was no snack offered on the flight from Houston to Birmingham.
8752,seemless.
8753,"The food selection was not very good. The cheese plate was not a good 'dinner' choice--not much food. And I had the exact same cheese plate as a breakfast option on a subsequent flight?. Again, not a very good choice. Ok as a snack, but not a meal."
8754,No.
8755,Tv and charging ports did not work. If tv did not work should have offered free or discounted Wi-Fi.
8756,No.
8757,I would have preferred honey for my tea instead of sugar. honey was not available.
8758,The comment was actually about the ORD to MUC portion of our trip. The food was heated up with a plastic foil on top which made it taste of plastic. Ew.
8759,Very hard to cut chicken in small space.
8760,Be on time!.
8761,Would be nice to have a pre-departure drink in first class.
8762,"Too short of a flight, did not purchase or consume anything."
8763,My pretzels were stale.
8764,"For the first time ever, I received almost too much vodka in my drink. I also had tried to pre order my meal on the app and could not get it to work. I ended up having to eat the same meal on my return flight that I had eaten on my initial flight. It was the only choice I was given."
8765,The glass of water is a joke!. At least with a Coke you get 12 oz. Pretzels were stale. Threw away.
8766,"short flight, not applicable."
8767,Food is not bad but choices obscure.. how about a simple meat and potatoes/rice option and standard veggie option instead of Mexican or some weird curry. Pay attention to what people choose and make your choices from there.
8768,"Please, give more time to eat and enjoy the food. It was like you had to swallow everything in a rush. we still had hours of flight pending."
8769,no.
8770,I was confused about the food/ snacks on board. It was not offered to me at all.
8771,Coke was cold. I got a full can.
8772,N/A.
8773,Impressed with the quality.
8774,No.
8775,You should have a bigger selection.
8776,No.
8777,Pleasantly surprised.
8778,No.
8779,For an eight hour flight and for $1275 per person with me purchasing 2 tickets round-trip. Just a snack is not sufficient. a hot meal must be included. I spoke to several other passengers who felt the same.
8780,I understand the scarcity situation. But $4 bag of tiny chips on a 6 hour is a little bit Spartan. I chose to bring my own sustenance.
8781,Need a better beer selection In business/ 1st class the stewards came around only once during a 61/2 hour flight to take drink orders. Act putout if you ask for more. Other airlines I have travel came around multiple times to ask if we wanted more.
8782,Ran out of pancakes in beginning of service served water out of large bottle in cup instead of bottle not acceptable at that price.
8783,"Of course, the food needs to be packaged and available for large quantities.. I just wish there was more healthy unprocessed options. Salad, grilled vegetables, fruit, Greek yogurt, oatmeal, etc."
8784,The snack portion was not enough.
8785,"On flight from New Orleans to San Francisco, there was no ice served with the cool water. Food was not offered to purchase. We were given cookies and pretzels only."
8786,The warm chocolate chip cookie offered was super.
8787,Food was better than expected but that is a low bar.
8788,"Need to think about even something like lasagna, London broil. Chicken is getting to be a bore."
8789,"No, we were given a complimentary snack pack and a glass of champagne. My husband is a WWll veteran and l am his almost 88 year old wife and total caregiver. He will be 97 years old on October 3rd, and we have been married over 66 years!."
8790,United is expensive we should be getting full size snacks.
8791,food very good. wine needs to be upgraded. a card with available selections needs to be handed out.
8792,The hamburger was served hot and it was very good.
8793,Why did you stop selling the trail mix?. Good satisfying snack and good quality.
8794,"Although satisfactory, food is a real comedown from the good quality in business class from years ago. I miss Pan Am which I flew regularly to Geneva."
8795,The dinner was very good. the breakfast in Polaris was not especially good.
8796,Offer sandwiches.
8797,"I would like to see the fruit on the side replaced with a salad. Looking around me, it seems most folks did not eat it. Other than that, all the food was great!."
8798,Packaging VERY hard to open. They need to make it with the “Tear here” type of “cutouts” or something similar.
8799,Yes they skipped right over our row!. So we did not get anything to drink. It is not a big deal but hey it is nice to have a little coffee or something to pass the time.
8800,As I boarded I saw a tray full of already poured OJ etc. So everyone who walked thru the plane entry was basically breathing on those beverages. Ugh.
8801,"Need to improve the food, it is not very tasty. It [food] used to be good."
8802,No. Beverage service/ food was adequate.
8803,Selections and portions small and snacks are lack luster.
8804,The variety is extremely limited. I heard that some passengers wanted to purchase food. there were no more entrées left.
8805,"After a 7 hr delay, it was nice to get something."
8806,No.
8807,No.
8808,More coffee would have been good.
8809,"The first meal was chicken and rice. It was very good. The lunch meal was not good at all.. Think you can do better, and upgrade your food.. The food was hot. I was thankful to have gluten free."
8810,Do not run our!. (Which happened on this flight).
8811,no.
8812,FOOD (all choices) was disgusting. Could only eat a cookie for a 7 1/2 flight to Ireland <🤮><🤮><🤮><🤮>. Multiple of us was disgusted airline food was still that BAD. For the price of a ticket you would think any of the choices for dinner and breakfast would be etible but all of them were gross.
8813,Consider improving the food for purchase choices please.
8814,"Two flight attendants for the entire coach section???. I might have ordered a paid for snack, but goodness, there were no explanations of what was available and no time to ask the rushed attendant."
8815,Great flight.
8816,Everything was good.
8817,"With the recent increase in ""air rage"" incidents I understand the motivation for the ""one at a time"" policy for alcoholic beverages. Given the limited number of beverage services, I feel that ""two at a time"" (perhaps for just the first service) would lead to a more relaxed flying experience, but of course safety takes priority."
8818,Preorder of food was great.
8819,"Wanted white wine, but they ran out."
8820,No thanks.
8821,not enough food selections for purchase and the one listed was not available.
8822,No.
8823,"Snacks were noted on the app for the flight, so before we purchased sandwiches for the flight I checked with the gate and they did not know if it was a meal or a snack, and that they would let us know. It was getting close to boarding so we went ahead. bought sandwiches just in case. Right before we boarded we found out that there would be a meal choice but we had already bought our sandwiches so we did not really need them."
8824,More options please!.
8825,"I wish the champagne offered to purchase was better quality. Also, curious when y’all stop serving all free snacks?. What is the actual cost of that for y’all?. $0.40?!. Quite disappointing."
8826,Why NO Carryon allowed for my ticket - Some of the passengers had Carryon with them. I had to pay $35.00 & I had to check in my carryon. I used to always have one Carryon Free.
8827,Would have wished for more lo-cal choices.
8828,Not like the old days.
8829,everything was great.
8830,"Sorry , there is no going back to correct an answer in this survey (you might want to fix that, 2/5 for the people doing the survey). I thought it was about the whole flight SMF to MAD. SMF to SFO is a 45 minute flight. I am not even sure there was a beverage but if so I did not need it."
8831,Like diet Dr Pepper.
8832,There were not any Tapas boxes for sale. I was in the front of the plane so they did not run out. The other 2 options are not nearly as good.
8833,I am YC would be nice to have some real food options not only the snack boxes.
8834,"Expand categories, like alcohol."
8835,Good selection.
8836,We were 4 th row of business class (full fair). No choices left had to take what is left.
8837,Enjoyed the chicken diner - breakfast sandwich was not good.
8838,"we thought there was plenty of food, delivered warm, and surprisingly good!."
8839,thanks for the sparkling water.
8840,Gluten free options would be nice.
8841,No.
8842,Coke Zero please.
8843,We have travelled with United for many years. the food today in Business first is not up to the standards before Covid.
8844,I sat in 5a and the meal I would choose was unavailable. The only in-flight snacks were chips and one type of chocolate. Looks like I need to bring a food pack with me.
8845,"Also, the lunch service was served so late that I only had 5 minutes to eat a cheeseburger before having my plate cleared for landing--not sure why that happened when the flight was nearly 10 hours. The lounge in Rome was awful. I think it was called Prima Vista right by our gate E41 at FCO. It was terrible food and service and WAY below the standard for the Polaris class tickets we bought for our 25th anniversary."
8846,"Feels like there should be something offered on this flight, even though it is short. Pretzels only?. Bottles of water only?."
8847,While the wine selection was OK (the Meritage my husband had was excellent ) I had only one glass of champagne and then only cava was available. That was disappointing.
8848,First choice meal was not available on both legs of the trip. Food quality especially for a business class flight was mediocre at best.
8849,No nothing all good.
8850,"The hot meal was quite good….. Thai curry with rice, the salad was fresh."
8851,4 hour flight with no food except pretzels or crackers. Very disappointing.
8852,It was a short flight. the food/beverages were good.
8853,"Given the late hour of the flight, I generally order the cheese plate. It would be nice if there was a slightly augmented cheese / snack plate as an option to full entrees."
8854,Not even water on the flight to SFO.
8855,"Short flight, did not have anything."
8856,Offer Green Tea.
8857,Understood it is just too short a flight. None expected.
8858,"On the flight over in FC the man next to me had noodles delivered that were so cold and hard he could not put a fork through it - your food is basically inedible - take a flight even on air China , or ANY airline and see what food served could be."
8859,Could you make the warm chocolate cookie a bit bigger?. Please?.
8860,"On a six-hour flight that departed at 1800, there are really no more substantial offerings than a box of crackers with hummus?. I would willingly pay for something better than that."
8861,The flight attendants should be offering upgraded snacks/beverages to Global Services passengers. I am never asked if I would like a complimentary spirit or wine. upgraded snack when I travel in coach. This is a missed opportunity to support your Global Service passengers.
8862,No.
8863,Wonderful.
8864,Best airline food ever.. the cheese ravioli on flight from Cancun to SFO…as good as the ones I make.
8865,Not offered.
8866,"It was chicken or ""impossible meatballs"", whatever that is. But the chicken was very good!."
8867,No.
8868,More vegetarian options. Please only serve hot food. The temperature in the cabin is very low. Need hot food to keep warm.
8869,wanted diet ginger ale or sprite. neither availabl. e I was in row 45 so only one choice available by the time they got to me.
8870,Good quality food. Almost a complete meal.
8871,Due to flight delay my meal dried out and was not as tasty as other times that I have chosen the same item.
8872,Why were orange juice and grapefruit juice not offered?.
8873,I think there needs to be a Diet Sprite/7-Up equivalent. Something with neither sugar nor caffeine in that genre.
8874,Hot.
8875,Fish entree was cooked to death. portion was very small. Breakfast options (brioche cheeseburger or roast veg with couscous) are both completely unappetizing. I heard a lot of negative comments about these from other passengers too. Both items should be rotated out in favor of a more traditional breakfast selection.
8876,I am just glad you all still do a free beverage. I get the full can of soda. Really nice.
8877,Improve the quality of food provided.
8878,It used to be that on s cross-country flight. a free meal was served. Flights have not gotten less expensive. the free meals have been replaced by food for pay.
8879,Offer something other than yogurt that people can choose from.
8880,Better variety of snacks.
8881,Pretzels were stale.
8882,A snack would be good.
8883,More options.
8884,No.
8885,no.
8886,No food or beverage was served because it was a short flight. There is no option to select N/A.
8887,No.
8888,Would have like to champagne and not Preseco on the flights.
8889,Very nice crew.
8890,Fix ya damn TVs.
8891,None.
8892,More variety.
8893,"I wish you had an option for just 'meh'. It is okay, not great. And took many grains. Would like more of a salad. In general, good enough when I am not flying business class. I definitely missed that this flight."
8894,N/A.
8895,Sparkling wine not very good.
8896,was not offered any food.
8897,You should have additional qty of Lunch/Dinner menu for customers that did not have time to purchase food due to connecting flights.
8898,"As I said earlier, the food from London to Denver was better than the food Denver to London."
8899,"They ran out of every beer except Coors/Bud. I prefer tequila for spirits. which is not offered, so I stuck with wine."
8900,no.
8901,No.
8902,Better selection of food in First Class.
8903,On such a long fight it would be nice if they came around to see if you wanted anything else to drink.
8904,No.
8905,Not enough milk.
8906,Healthy vegetarian options would be much appreciated.
8907,"I had the Chicken Zaatar dish. Although the serving crockery with foil cover gave the assumption that it would be heated, this plane did not have an oven so it was served cold. Rather than being a detractor, i found the dish even more satisfying served cold. The flavors seemed more prevalent and the chicken more juicy than would have been if it had been unceremoniously heated to death. I commented to our flight attendant that it was one of the best meals I have had on a flight in quite some time."
8908,Nothing else.
8909,No.
8910,dna.
8911,"The in-flight magazine said we would be offered a single malt scotch (Glenfarcas). I was given Cutty Sark. Not a big deal, but you asked. Also, the flight attendants are never quite sure what the ""pasta dish"" really us. So we usually just take the chicken."
8912,I asked for a pretzel and cookie. My flight was delayed. I was hungry. The flight attendant gave me water no ice and only one snack.
8913,"I was not even offered any water. The plane was cramped. the PA was so garbled I could not hear the announcements. We landed safely, that is all that matters."
8914,Light snack.
8915,No.
8916,At least there should be some water or juice for the flight. Only saw those on sale.
8917,Snack would be nice on a long flight.
8918,Bummer that you are now charged for snacks. But the $0 change fee for flight changes makes up for it.
8919,"The choices seem very limited. I have noticed things like the bistro burger and the fruit and cheese tray listed as snacks that are sometimes available, but I have never seen these on any flights (and I travel very often- I am premier 1K). I would love to see these options offered more frequently. My beverage of choice, sparkling wine, was not available on this flight either. The flight attendant looked very hard to find it for me, but she could not come up with it."
8920,We were suppose to receive snack boxes on our trip for being 1k but they were not even offered?.
8921,Besides of 2 kinds of meal chicken & lasagne. Hope to have one more choice of selection.
8922,Would be nice yo have sandwiches for flights longer than 1 hour.
8923,Can you serve water bottles instead of a cup of water. I was really thirsty.
8924,No.
8925,The breakfast was not really a breakfast just a yoghurt.
8926,"I would have ordered but brought a drink, thinking a short flight would not offer food or drink."
8927,"I do not particularly have problems with the food I am only thing the United for be good company take care more food allergies serious,like no peanut in the plane or in some area."
8928,"For flights offering first class, maybe have flight attendants have training on crafting cocktails."
8929,More healthy salad options please.
8930,We really appreciate the food on those long flights - it really helps!. And it is pretty good !. The sticky toffee ice cream is delicious!. The little salad with israeli couscous is pretty good too along with the warm turkey and cheese on a roll served as a snack.
8931,No.
8932,Good job.
8933,United needs to get better food and more choices. It is the same menu every flight. There is only one item I would consider and its not that great. Serve a side salad with the chicken entre please.
8934,More options please.
8935,no.
8936,No Manu vegetarian options. The taste of the food was weird.
8937,Better tasting OJ.
8938,there were no snacks.
8939,"I was in Business Class, and only got a complimentary champagne and two small saltines."
8940,Seats are very uncomfortable and narrow with very limited legroom. Paying $50 additional charge is not an option. United Airline ticket is too expensive to be this uncomfortable.
8941,Would like more flavor in the food.
8942,disappointed with the quality of food.
8943,It would be nice to have a sandwich or lighter for lunch.
8944,No beef offering.
8945,More of a selection.
8946,"When I booked the flight I requested gluten sensitive. I thought it said not available. So I brought some food from home. I was surprised when the flight attendant gave me my meal. The meal was good. the sandwich at the end of the flight was interesting. I can not say it was good, but it was not bad. Not sure what it was. the package was in Italian. Maybe cheese and artichoke???. according to the picture."
8947,No pretzels or cookies anymore?. I wish I would have known. I do not think that is a good idea. there is no option to buy them. I think that needs to be re-thought.
8948,Should offer pretzels to all passengers Not just first class.
8949,The flight attendant should offer the whole can of sprite with ice and provide more snacks. Other airlines like American Airlines provide more snacks and give the whole can of soda instead of a cup.
8950,"nothing in the Tapas box to spread the cheese with, I think it [cheese] used to include a spreader."
8951,No ice. No snack.
8952,many people who ordered kosher food were not given such food.
8953,Protein available w/ or with o fee.
8954,All was ok and it was a full flight but there was no offer for a second beverage.
8955,Flight attendant forgot our meal. only one option (veggie) was left over. In general portions were very small.
8956,no.
8957,No.
8958,I like the food overall. The chicken was a little spicy. The dessert was good. (Correction).it was a cookie. The roll was really good and the fruit. Overall the meal was really good. Thank you.
8959,Business class - no snack was offered. Complimentary meal choices were too ethnic. I got the chicken which was too highly seasoned. Thought about getting the burger but glad I did not when I saw how it looked.
8960,I wish I could get the whole can of soda.
8961,Recommend increase snacks portion.
8962,Appreciate having the entire can of beverage.
8963,Flight was not stocked well enough to provide the requested first glass of wine to the first class cabin.
8964,I personally did not care for the dish I ordered. It was very spicy;. to spicy for me.
8965,Quality of white wine needs improvement and offer a larger selection of beers.
8966,"did not like having to put my credit card in my app first. did not get to do it onboard, did not drink much purchased booze."
8967,Received a drink at the beginning of the meal. no one followed up to ask if I wanted anything else (business class).
8968,Good flight.
8969,The water I got was a very small cup. Would like to have either a much larger glass or at least half a bottle of water. I feel like I got a 1/4 of a bottle of water.
8970,"Should have an ingredient list available,& a healthier option."
8971,Larger portions would be nice.
8972,Snacks would be a cool edition to United.
8973,No.
8974,I would like to have toast with my eggs.
8975,Dinner was tasty!.
8976,Change it up guys.
8977,1. I would like a diet and caffeine free soda -- like diet sprite!;. 2. last night they had only two buyable snack pack options by the time they got to my row.
8978,Chicken was dry and had unappetizing seasoning.
8979,Should offer snacks.
8980,No.
8981,It would be nice to offer more of a variety of food items to purchase that are more healthy.
8982,"Menu for drinks would be helpful, selected meals not available both times."
8983,Ice cream was defrosted. as a result I had the runs halfway through flight from Berlin to Newark.
8984,please offer a decent cabernet on all flights in first class.
8985,"Just think that a beverage should be offered preflight, especially when there is time to do it."
8986,Just need some electrolytes.
8987,No.
8988,"Yes- offer a variety of snacks on the flight. Jetblue has many options which are good, and United should do the same. Also, it would be nice to get multiple snacks instead of one. I noticed this happens on every United flight."
8989,We had several choices but only one option - ran out of the other choices.
8990,Option of vegetables to accompany the meal. Flavors seemed a bit off and carb heavy.
8991,The vegan meat ball dish was excellent.
8992,No.
8993,Champaña.
8994,Just need better quality and selection as your prices increase for first class.
8995,No.
8996,None.
8997,It would be nice to know food choices prior to flight. Calorie or other info so we could make choices ahead or without the stuadess answering same questions over and over.
8998,If water is served from cups the amount should be larger.
8999,Provide some healthy snack. The cookies and pretzels are loaded with bad ingredients.
9000,It was wonderful to be asked what to eat ahead of time and ordering seemed easy until I got on the plane and my choice was not there for me. I do have dietary restrictions in allergies they did the best they could to accommodate me. I was disappointed.
9001,We were told it was a no snack flight.
9002,Quite happy with the experience.
9003,Veggie dish needs more flavor.
9004,I am a diabetic and celiac. A packet of potato chips would have been a nice snack for me. Cookies are not okay. Sitting in 2 b I would expect.
9005,Dinner main was tasty in Premium plus. Breakfast was average. Good snacks to choose from. I choose a biscuit (cookie).
9006,Red wine very cold.
9007,No.
9008,nothing was served. short flight. my feedback concerns the long flight from Baltimore to San Francisco. only one package of Biscoff during a 5 hour flight?.
9009,Should have a proper lunch on an 8 hour flight that departs at 10 and lands after 2.
9010,Difficulty in using the United App to pay for things.
9011,I am lactose intolerant. have had to skip breakfast every single time because Yogurt makes me throw up. A simple French bread with butter is simple and a whole lot better.
9012,The food was good seemed fresh Also the coffee is better than it used to be.
9013,Absolutely the only thing unsatisfactory for that long flight from SFO to SYD was the wine. It was really terribly disappointing (alleged to have been chardonnay).
9014,Attendants in coach were slow to respond to call buttons and were forgetful of customer requests.
9015,No.
9016,Main meal average. Very strange flavor.
9017,"The pop was served in a warm can with just a little ice in a cup that melted very fast. Again, this was first class and was offered nothing special compared to regular class. They only came around once to offer anything. I asked for water also and was given a warm water bottle."
9018,I would purchase food on every flight. your variety & selected pacs SUCK. I do not know who selects what is in the snack packs but whom ever it might be needs to be replaced.
9019,As usual they bring filled glass. I do not know what I am drinking. They never offer second round.
9020,There were only 2 options—beef or chicken.
9021,It is a short flight. maybe 1 beverage and snack could be served.
9022,"Once again, between takeoff and drink service there is always a very long wait on United. Instead of serving a beginning cocktail, each passenger in business class must wait until the court comes around which means that the last person that the court gets to might wait 2+hours after takeoff to get a drink. This is quite different than other airlines."
9023,Waffle was delicious!. Too long interval between meals.
9024,Flight attendants were not familiar with the beverage options outlined in the inflight magazine. We were told our selection was not available. later we saw other passengers in our section receive the beverage we had selected. This is especially disturbing because we were requesting a scotch whisky on a flight originating from Scotland...
9025,Gluten free option missing.
9026,Nope.
9027,no.
9028,No.
9029,I am both gluten free and vegetarian. the GF meals always include meat. I have not found a way to note in my profile that I am both gluten free and vegetarian.
9030,Please do not serve that silly pack of pretzels and cookie. Or at least offer 2 packets.
9031,No free snack not even a pretzel!!.
9032,Portion sizes had definitely bee reduced since befor pandemic. But still fine. People eat fro much anyway.
9033,The beverage was actually free.... not many other airlines are doing this now.
9034,could have had some pretzels crackers cookies.
9035,You should add apple juice!.
9036,More serving.
9037,Wish there was more selections or a pre-order selection added to United.
9038,The main chicken dish was good. the salad was so-so.
9039,Better snack.
9040,Something more substantial than the bag of nuts.
9041,"I would like to have the option of the brioche burger, or something similar."
9042,No wine in short flights is not nice when you scared of flying.
9043,gave me 3/4 ice and a dash of ginger ale.
9044,Short flight and food not available. Enjoyed glass of champagne.
9045,Same snacks as always. It would be nice to have less sugary snacks. Some protein bars. Or a piece of fruit. It is a long flight. A bottle of water would be nice.
9046,"on my flight to Boston, I received an e-mail to pre order my meal. On the return flight to Chicago, I did not and was not able to find where this was on the Web site. So I selected food on plane. Only options were vegetarian meatballs and spicy chicken. I would have loved an option for some kind of salad instead."
9047,"Frankly, the coffee is just not strong enough. Pretzels are just dry. I am happy that there are more low cal/nonsweet beverages available such as the AHA drinks."
9048,"I was offered the chance to pre-order my meal, which I did. However, within 24 hours, I received an email from United stating that the pre-order was a mistake and my order was cancelled. It did not matter as it happens as I was able to get the meal I had requested. I also thought that the wine selection was somewhat limited and we were not offered a pre-take off drink.."
9049,I would have liked a couple more drinks but they did not come back around.
9050,"Any kind of ABQ specialty, please!."
9051,No.
9052,"No, everything was fine."
9053,Just THANK YOU for offering beverages AND a little snack (pretzels and/or cookies).
9054,"The food was not appetizing. Overcooked chicken, plastic fruit cup, dense bread."
9055,Is there a way to request a gluten free meal/snack for my fight?. Is there an extra charge?. I appreciated that the brownie everyone got was gluten free.
9056,This was the tastiest food at United.
9057,snack portion size small - could have had more ( it do hit the spot ).
9058,Water was not offered enough.
9059,no.
9060,No.
9061,"Yes, root beer would be a nice beverage."
9062,They can have little better quality whiskey and should be give two given two drinks if asked They give you one and then never comeback for second as they promised It happens a lot lately as I always travel United.
9063,"my one comment on the snacks is it would be nice if one were gluten free. GF troop waffles are made, but also just potato or corn chips would work and they would not be expensive."
9064,No coffee available on flight.
9065,Hamburger served second service. Not very good. Bun was hard.
9066,No.
9067,No.
9068,"need to feed Economy seats a meal on long flights , not just rich people."
9069,Do a better job with the dessert. Heat the rolls. The pre-arrival snack was very good.
9070,I think that the beverage should be a full can. i guess only if you are consuming alchol. That is what I observed.
9071,"For this flight, it [flight] used to be a meal."
9072,Good experience.
9073,1st Class gave offered a meal selection of the flight which I was very good.
9074,No.
